"state","region","pop","area","density","metro","waste","energy","toxic","green","csat","vsat","msat","percent","expense","income","high","college","exp_scale","per_scale"
"Alabama","South",4041000,52423,77.0800018310547,67.4000015258789,1.11000001430511,393,27.8600006103516,29.25,991,476,515,8,3627,27.498,66.9000015258789,15.6999998092651,-1608.96078431373,-27.7647058823529
"Alaska","West",550000,570374,0.959999978542328,41.0999984741211,0.910000026226044,991,37.4099998474121,NA,920,439,481,41,8330,48.254,86.5999984741211,23,3094.03921568627,5.23529411764706
"Arizona","West",3665000,113642,32.25,79,0.790000021457672,258,19.6499996185303,18.3700008392334,932,442,490,26,4309,32.093,78.6999969482422,20.2999992370605,-926.960784313726,-9.76470588235294
"Arkansas","South",2351000,52075,45.1500015258789,40.0999984741211,0.850000023841858,330,24.6000003814697,26.0400009155273,1005,482,523,6,3700,24.643,66.3000030517578,13.3000001907349,-1535.96078431373,-29.7647058823529
"California","West",29760000,155973,190.800003051758,95.6999969482422,1.50999999046326,246,3.25999999046326,15.6499996185303,897,415,482,47,4491,41.716,76.1999969482422,23.3999996185303,-744.960784313726,11.2352941176471
"Colorado","West",3294000,103730,31.7600002288818,81.5,0.730000019073486,273,2.25,21.8899993896484,959,453,506,29,5064,35.123,84.4000015258789,27,-171.960784313726,-6.76470588235294
"Connecticut","N. East",3287000,4845,678.429992675781,92.4000015258789,0.879999995231628,234,6.48999977111816,14.6300001144409,897,429,468,81,7602,48.618,79.1999969482422,27.2000007629395,2366.03921568627,45.2352941176471
"Delaware","South",666000,1955,340.660003662109,66.3000030517578,1.12999999523163,349,9.88000011444092,21.5300006866455,892,428,464,61,5865,40.641,77.5,21.3999996185303,629.039215686274,25.2352941176471
"District of Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,840,405,435,71,9259,35.807,73.0999984741211,33.2999992370605,4023.03921568627,35.2352941176471
"Florida","South",12938000,53997,239.610000610352,90.8000030517578,1.45000004768372,237,8.23999977111816,13.5699996948242,882,416,466,48,5276,32.027,74.4000015258789,18.2999992370605,40.0392156862745,12.2352941176471
"Georgia","South",6478000,57919,111.849998474121,65,0.680000007152557,322,12.0200004577637,22.9300003051758,844,400,444,62,4466,33.819,70.9000015258789,19.2999992370605,-769.960784313726,26.2352941176471
