"stfdem","male","agea","eduyrs","mbtru","hinctnta","ppltrst","clsprty","age15"
7,0,49,17,1,4,8,0,34
6,0,45,18,1,2,4,0,30
3,1,76,10,1,2,8,1,61
7,1,50,9,0,6,8,0,35
1,1,67,10,0,1,6,0,52
1,0,31,11,1,5,2,0,16
5,0,34,13,0,10,3,1,19
7,0,44,11,1,2,9,0,29
7,1,32,10,0,6,3,1,17
4,1,58,9,1,7,7,0,43
7,1,48,16,0,7,7,1,33
2,1,15,11,0,,5,0,0
2,1,53,15,0,,2,0,38
9,0,65,14,0,4,8,1,50
5,1,41,12,1,8,7,0,26
6,0,40,18,0,,7,1,25
7,1,91,9,1,3,8,1,76
0,0,48,11,1,6,0,1,33
10,0,39,21,0,10,8,0,24
1,1,49,12,1,1,8,0,34
8,1,29,18,0,3,5,0,14
4,1,36,21,0,10,8,1,21
5,0,52,17,1,3,6,0,37
5,1,32,18,0,7,7,1,17
5,0,67,10,0,4,8,0,52
4,1,50,11,1,8,3,0,35
3,1,43,16,1,7,3,0,28
3,1,65,9,0,6,2,0,50
5,1,93,11,1,3,3,1,78
,0,29,13,0,2,6,0,14
5,1,64,9,0,4,6,1,49
7,1,65,12,1,5,5,1,50
1,1,65,8,0,2,7,1,50
,0,72,10,0,2,0,0,57
8,1,55,17,0,8,5,1,40
7,1,19,13,0,1,7,0,4
3,1,78,12,1,5,5,0,63
7,1,38,17,0,5,1,1,23
3,0,41,16,1,10,7,0,26
7,1,37,14,1,5,7,1,22
4,0,59,13,0,4,8,0,44
8,1,47,15,0,10,6,1,32
1,1,61,11,1,4,5,0,46
6,0,52,16,1,9,7,0,37
8,1,58,13,0,6,7,1,43
1,0,54,11,1,5,6,0,39
4,1,49,12,0,7,5,0,34
3,1,53,11,1,9,4,1,38
0,0,34,15,0,8,5,0,19
9,1,58,10,1,4,4,1,43
10,1,21,18,1,8,7,1,6
,0,16,11,0,,2,,1
8,0,85,16,1,4,8,1,70
3,0,54,19,1,4,5,1,39
9,0,37,11,0,7,6,1,22
5,0,,13,0,1,4,0,
8,0,69,16,1,6,8,1,54
5,0,30,11,0,,2,0,15
10,1,60,10,1,5,7,1,45
7,1,64,10,1,7,5,1,49
6,1,66,10,1,6,8,1,51
8,0,78,13,0,,5,1,63
4,0,69,16,1,2,0,1,54
0,0,61,12,0,3,3,0,46
5,1,72,10,1,9,5,0,57
3,1,36,19,0,10,5,1,21
6,0,30,18,1,10,3,0,15
4,1,34,17,0,6,7,0,19
9,1,31,18,0,,4,1,16
5,1,63,18,1,9,7,1,48
3,0,26,17,0,3,8,0,11
8,0,68,15,0,10,8,1,53
5,0,75,10,0,,6,0,60
2,1,50,13,1,5,7,1,35
6,0,40,17,1,10,6,1,25
5,0,22,14,1,8,5,0,7
2,1,26,17,0,9,7,0,11
2,0,27,15,0,4,10,0,12
7,0,68,16,1,,5,1,53
6,1,18,11,0,8,7,1,3
7,1,54,12,1,5,5,0,39
5,1,74,17,1,3,3,1,59
4,1,69,10,0,3,5,1,54
8,0,31,16,0,10,6,0,16
5,0,27,12,0,3,3,0,12
5,0,88,10,0,2,6,1,73
10,0,85,13,1,,10,0,70
9,0,77,15,1,9,6,1,62
5,1,28,18,0,,6,0,13
2,1,29,18,0,4,5,0,14
3,1,80,11,1,,2,1,65
9,0,58,19,0,7,6,1,43
8,0,50,15,0,9,3,1,35
,0,47,14,0,3,5,1,32
6,0,16,13,0,,6,0,1
,0,79,9,0,,5,0,64
0,0,55,11,1,1,0,1,40
5,1,55,12,1,,6,1,40
5,0,37,14,1,2,5,0,22
5,0,34,18,1,3,7,1,19
4,0,74,11,0,3,6,1,59
7,1,67,11,1,2,5,0,52
7,0,40,19,1,9,4,0,25
2,0,55,11,0,8,5,0,40
,0,53,12,0,8,5,0,38
3,1,73,15,1,5,5,0,58
4,0,60,10,1,4,5,1,45
5,0,26,21,0,9,6,0,11
7,0,73,16,1,,6,1,58
6,0,83,12,0,4,7,1,68
7,0,86,13,1,3,9,0,71
7,1,34,13,1,9,6,1,19
4,0,79,13,0,2,8,0,64
4,1,35,15,1,4,4,1,20
,1,15,11,0,,1,0,0
2,0,64,17,0,2,6,1,49
7,1,40,16,0,7,8,0,25
8,0,64,12,0,7,7,1,49
5,1,56,16,0,10,7,1,41
3,0,66,9,0,2,6,1,51
7,1,46,20,0,10,7,1,31
3,1,69,15,1,2,5,0,54
8,1,67,11,1,2,2,1,52
4,1,59,10,1,1,4,0,44
8,0,52,18,0,1,3,1,37
8,1,67,10,1,3,7,1,52
2,0,67,12,1,,8,1,52
8,1,51,19,0,10,6,0,36
5,0,47,19,1,10,8,0,32
6,1,68,10,1,2,5,0,53
2,1,65,10,0,1,6,0,50
4,0,30,10,0,1,3,0,15
8,1,66,13,1,3,7,1,51
8,0,84,10,,2,5,1,69
4,1,37,15,1,6,8,0,22
3,0,60,11,1,,8,0,45
8,0,17,13,0,,6,0,2
0,1,60,11,1,4,6,0,45
8,1,70,20,0,5,7,1,55
6,1,73,10,0,1,1,1,58
3,0,72,9,0,1,7,1,57
8,0,67,14,0,9,5,,52
5,1,49,11,1,2,5,1,34
1,0,39,19,0,6,4,1,24
3,1,61,15,1,3,5,1,46
2,0,31,14,0,1,3,0,16
6,0,38,12,1,10,5,0,23
7,0,56,13,0,3,6,1,41
8,1,62,17,1,6,8,0,47
4,1,70,14,1,6,5,1,55
1,1,50,20,1,9,5,0,35
10,1,26,17,0,1,10,0,11
4,0,51,11,0,1,7,1,36
8,0,20,16,0,1,8,1,5
8,0,68,12,1,3,9,1,53
5,1,76,10,0,2,6,1,61
1,0,47,13,0,1,5,0,32
9,0,46,9,0,2,4,1,31
10,1,58,,0,1,8,1,43
5,1,17,12,0,,5,0,2
3,0,53,18,0,10,3,0,38
4,0,35,13,0,3,4,1,20
9,0,84,15,0,6,4,1,69
8,1,93,0,1,2,5,1,78
2,0,43,11,0,3,0,0,28
8,1,41,11,0,2,6,1,26
8,1,32,20,0,1,6,1,17
5,0,93,9,1,2,7,1,78
,0,51,11,0,,7,0,36
0,0,58,11,1,7,1,0,43
8,0,33,16,0,10,7,1,18
,1,90,9,1,,8,1,75
10,1,23,9,0,1,3,0,8
8,0,65,10,0,7,5,1,50
9,0,73,17,1,2,5,1,58
7,1,57,15,1,9,8,0,42
10,1,59,7,1,5,7,0,44
10,0,84,9,0,1,6,1,69
5,0,76,10,1,1,7,1,61
6,0,33,18,0,2,7,1,18
7,1,80,10,0,1,5,0,65
4,0,80,10,0,1,5,1,65
3,0,36,13,0,1,7,0,21
6,0,39,20,1,9,8,0,24
0,0,35,12,0,2,0,0,20
4,1,45,17,1,8,4,0,30
5,0,19,13,0,,7,0,4
6,0,83,9,1,2,8,1,68
,1,70,10,0,4,5,1,55
5,0,84,8,0,,8,0,69
5,1,29,11,0,2,6,0,14
1,0,56,11,1,6,6,1,41
3,0,52,11,1,6,8,0,37
8,1,41,12,1,3,8,0,26
4,1,55,17,1,10,6,1,40
3,0,30,16,1,9,8,1,15
6,1,82,9,1,1,7,0,67
7,1,72,20,0,10,10,1,57
8,1,83,9,1,2,4,0,68
3,1,56,18,1,10,4,0,41
5,1,36,13,0,8,5,1,21
8,0,85,11,0,2,6,1,70
0,1,70,12,1,,1,1,55
8,1,66,2,1,2,5,1,51
8,1,35,11,0,8,6,1,20
5,0,35,11,0,3,5,0,20
7,0,24,13,0,1,7,0,9
5,1,56,16,1,,3,0,41
5,0,50,18,1,9,7,1,35
8,0,16,12,0,,7,0,1
9,0,78,7,1,2,8,1,63
4,1,18,11,0,10,6,0,3
5,1,27,19,0,3,7,0,12
0,0,42,15,0,,5,0,27
8,1,71,13,0,9,6,1,56
4,0,38,17,0,9,5,0,23
5,0,83,9,0,,1,0,68
8,1,81,19,1,9,8,1,66
6,1,64,16,1,4,5,0,49
10,0,67,11,0,2,5,0,52
7,1,58,14,0,,5,0,43
5,1,17,13,0,5,4,1,2
8,0,80,11,0,7,8,1,65
,0,49,12,0,1,3,0,34
3,0,31,18,1,10,4,1,16
5,1,63,20,1,7,0,0,48
3,0,32,15,0,1,9,0,17
8,0,67,11,1,8,2,0,52
8,0,61,11,1,5,7,1,46
2,0,24,17,0,4,0,1,9
1,0,20,11,0,1,1,1,5
6,1,70,,1,3,7,1,55
5,0,28,10,0,1,0,0,13
5,1,48,14,0,2,4,0,33
7,0,55,10,0,5,5,0,40
9,1,56,11,0,5,7,1,41
5,0,40,20,0,8,8,0,25
5,1,74,9,1,2,2,1,59
2,1,52,11,0,1,5,0,37
7,0,66,24,1,2,6,,51
2,1,39,13,1,1,7,1,24
6,0,26,12,1,3,7,1,11
8,1,58,11,1,8,7,0,43
6,1,59,17,1,4,3,1,44
5,0,34,19,1,10,5,0,19
0,0,82,11,0,,5,0,67
3,1,50,14,1,6,3,1,35
4,0,31,18,0,3,3,0,16
,0,28,13,0,4,7,0,13
8,0,66,12,1,7,7,1,51
2,0,57,11,0,7,6,0,42
0,1,52,20,1,5,6,0,37
10,0,26,15,0,,5,0,11
1,1,70,10,1,5,6,1,55
8,0,67,15,0,3,4,0,52
7,0,56,19,1,6,6,1,41
0,0,26,13,0,5,1,0,11
7,0,47,10,0,8,8,0,32
8,1,73,14,0,2,8,0,58
3,0,35,20,0,10,3,0,20
