"cname"	"wdi_mortinf"	"wdi_gdpcapcon2010"	"africa"
"Afghanistan"	56.7999992370605	0.610241943359375	0
"Albania"	12.8999996185303	4.41944287109375	0
"Algeria"	22	4.67588525390625	0
"Andorra"	2.59999990463257	38.71535546875	0
"Angola"	59.5	3.747568359375	1
"Antigua and Barbuda"	5.69999980926514	12.3633154296875	0
"Azerbaijan"	29.1000003814697	6.12298046875	0
"Argentina"	10.8000001907349	10.32320703125	0
"Australia"	3.40000009536743	54.3943359375	0
"Austria"	3	47.68116796875	0
"Bahamas"	9.39999961853027	21.35523046875	0
"Bahrain"	6.69999980926514	22.39068359375	0
"Bangladesh"	31.3999996185303	0.9221611328125	0
"Armenia"	13.1999998092651	3.82734326171875	0
"Barbados"	12	15.8561357421875	0
"Belgium"	3.29999995231628	44.67037109375	0
"Bhutan"	28.7999992370605	2.50026025390625	0
"Bolivia"	31.5	2.31725708007813	0
"Bosnia and Herzegovina"	5.30000019073486	4.9802080078125	0
"Botswana"	35.9000015258789	7.5742822265625	1
"Brazil"	14.6999998092651	11.866388671875	0
"Belize"	14	4.440701171875	0
"Solomon Islands"	22.6000003814697	1.44223254394531	0
"Brunei"	8.60000038146973	33.31383203125	0
"Bulgaria"	7.40000009536743	7.29955224609375	0
"Myanmar"	42.7999992370605	1.26612414550781	0
"Burundi"	52	0.243101913452148	1
"Belarus"	3.20000004768372	6.665193359375	0
"Cambodia"	28.8999996185303	0.972979248046875	0
"Cameroon"	57	1.29363122558594	1
"Canada"	4.59999990463257	50.06704296875	0
"Cape Verde"	19.6000003814697	3.36964282226563	1
"Central African Republic"	93.5	0.302546356201172	1
"Sri Lanka"	8.5	3.50673193359375	0
"Chad"	78.4000015258789	0.967102783203125	1
"Chile"	7.40000009536743	14.7019541015625	0
"China"	9.89999961853027	6.10823876953125	0
"Taiwan"	NA	NA	0
"Colombia"	14	7.29169189453125	0
"Comoros"	58.0999984741211	0.77983984375	1
"Congo"	39.9000015258789	2.92297338867187	1
"Congo, Democratic Republic"	76	0.378791412353516	1
"Costa Rica"	8.19999980926514	9.0774150390625	0
"Croatia"	4.19999980926514	13.5178349609375	0
"Cuba"	4.30000019073486	6.18277392578125	0
"Cyprus (1975-)"	2.29999995231628	26.97762890625	0
"Czech Republic"	2.5	20.34368359375	0
"Benin"	66.0999984741211	0.833662475585938	1
"Denmark"	3.5	59.471015625	0
"Dominica"	28.7000007629395	7.03144091796875	0
"Dominican Republic"	26.7000007629395	6.1937646484375	0
"Ecuador"	18.8999996185303	5.4393759765625	0
"El Salvador"	13.8000001907349	3.66819946289062	0
"Equatorial Guinea"	70.0999984741211	15.8511357421875	1
"Ethiopia (1993-)"	44.4000015258789	0.452778228759766	1
"Eritrea"	34.7000007629395	0.514179626464844	1
"Estonia"	2.59999990463257	17.3526640625	0
"Fiji"	19.5	4.14977880859375	0
"Finland"	2	45.2393671875	0
"France (1963-)"	3.29999995231628	41.4310390625	0
"Djibouti"	56.4000015258789	1.50829162597656	1
"Gabon"	36.9000015258789	9.5081484375	1
"Georgia"	11	3.85172338867187	0
"Gambia"	44.2000007629395	0.531638854980469	1
"Germany"	3.29999995231628	44.8748828125	0
"Ghana"	43.7999992370605	1.65977612304688	1
"Kiribati"	44.5999984741211	1.58875646972656	0
"Greece"	3.20000004768372	22.4790078125	0
"Grenada"	13.8999996185303	7.93367529296875	0
"Guatemala"	25.3999996185303	3.00790014648438	0
"Guinea"	61.7999992370605	0.445024963378906	1
"Guyana"	28.2999992370605	3.57371606445313	0
"Haiti"	53.5	0.728780334472656	0
"Honduras"	17.1000003814697	2.05947485351563	0
"Hungary"	4.69999980926514	14.04228125	0
"Iceland"	1.70000004768372	44.4779375	0
"India"	37.9000015258789	1.64678125	0
"Indonesia"	23.7000007629395	3.69294287109375	0
"Iran"	14	5.91628955078125	0
"Iraq"	27.3999996185303	5.2034423828125	0
"Ireland"	3.20000004768372	51.965890625	0
"Israel"	3.09999990463257	32.954234375	0
"Italy"	3	33.61597265625	0
"Cote d'Ivoire"	70.0999984741211	1.38491040039062	1
"Jamaica"	14	4.715837890625	0
"Japan"	2	46.46612109375	0
"Kazakhstan"	12.5	10.6454560546875	0
"Jordan"	16	3.34882690429688	0
"Kenya"	38.2000007629395	1.07563879394531	1
"Korea, North"	17	NA	0
"Korea, South"	3.09999990463257	24.323572265625	0
"Kuwait"	7.80000019073486	36.259390625	0
"Kyrgyzstan"	20.8999996185303	1.00351037597656	0
"Laos"	51.9000015258789	1.47050231933594	0
"Lebanon"	7.40000009536743	7.26224267578125	0
"Lesotho"	74.5	1.31633374023438	1
"Latvia"	4.69999980926514	13.816955078125	0
"Liberia"	54.7999992370605	0.3765888671875	1
"Libya"	11.8999996185303	4.57853173828125	0
"Liechtenstein"	NA	NA	0
"Lithuania"	3.90000009536743	14.9326025390625	0
"Luxembourg"	2.09999990463257	107.3527109375	0
"Madagascar"	36.4000015258789	0.408661041259766	1
"Malawi"	43.4000015258789	0.484368621826172	1
"Malaysia (1966-)"	6.90000009536743	10.3987607421875	0
"Maldives"	8.19999980926514	7.16467529296875	0
"Mali"	71.4000015258789	0.705788452148438	1
"Malta"	6	24.08076171875	0
"Mauritania"	57	1.32615869140625	1
"Mauritius"	13.1000003814697	9.1636337890625	1
"Mexico"	13.3000001907349	9.49255078125	0
"Monaco"	2.90000009536743	NA	0
"Mongolia"	16.8999996185303	3.90186669921875	0
"Moldova"	14.1000003814697	1.98694067382813	0
"Montenegro"	4.19999980926514	7.0451181640625	0
"Morocco"	25	3.110208984375	0
"Mozambique"	57.2000007629395	0.493252227783203	1
"Oman"	9.5	17.132087890625	0
"Namibia"	35.0999984741211	5.90940478515625	1
"Nauru"	29.8999996185303	9.36062890625	0
"Nepal"	31	0.675735290527344	0
"Netherlands"	3.40000009536743	50.49723828125	0
"Vanuatu"	24	2.909775390625	0
"New Zealand"	4.69999980926514	36.0060234375	0
"Nicaragua"	17.8999996185303	1.81299475097656	0
"Niger"	53.7999992370605	0.385002227783203	1
"Nigeria"	71	2.56309204101562	1
"Norway"	2.29999995231628	89.0806171875	0
"Micronesia"	29.1000003814697	2.70332080078125	0
"Marshall Islands"	30.3999996185303	3.32944897460938	0
"Palau"	14.6000003814697	9.607728515625	0
"Pakistan (1971-)"	67.3000030517578	1.11119592285156	0
"Panama"	14.8999996185303	10.2292265625	0
"Papua New Guinea"	44.9000015258789	1.71648950195312	0
"Paraguay"	18.1000003814697	3.76191186523437	0
"Peru"	12.8999996185303	5.82396435546875	0
"Philippines"	22.7000007629395	2.50581884765625	0
"Poland"	4.30000019073486	14.090119140625	0
"Portugal"	2.90000009536743	21.533470703125	0
"Guinea-Bissau"	61.5999984741211	0.544360412597656	1
"Timor-Leste"	45.4000015258789	0.967996765136719	0
"Qatar"	7.40000009536743	67.90121875	0
"Romania"	8.10000038146973	9.15851953125	0
"Russia"	7.09999990463257	11.4937265625	0
"Rwanda"	32.2000007629395	0.672748901367187	1
"St Kitts and Nevis"	8.19999980926514	15.0296162109375	0
"St Lucia"	12.3999996185303	6.98415234375	0
"St Vincent and the Grenadines"	16.2999992370605	6.477912109375	0
"San Marino"	2.59999990463257	NA	0
"Sao Tome and Principe"	28.1000003814697	1.2374716796875	1
"Saudi Arabia"	11.8999996185303	21.18346484375	0
"Senegal"	36.2000007629395	1.020080078125	1
"Serbia"	5.80000019073486	5.59306103515625	0
"Seychelles"	12.6000003814697	13.3795908203125	1
"Sierra Leone"	89.4000015258789	0.563197509765625	1
"Singapore"	2.09999990463257	51.86571875	0
"Slovakia"	5.19999980926514	17.972091796875	0
"Vietnam"	17.7999992370605	1.596345703125	0
"Slovenia"	2	23.258935546875	0
"Somalia"	87.1999969482422	NA	1
"South Africa"	35.5999984741211	7.62785205078125	1
"Zimbabwe"	44.4000015258789	0.932548400878906	1
"Spain"	2.79999995231628	29.494412109375	0
"South Sudan"	62.7000007629395	0.820114013671875	1
"Sudan (2012-)"	46.9000015258789	1.83713830566406	1
"Suriname"	19	8.952603515625	0
"Swaziland"	54.5999984741211	4.08856567382812	1
"Sweden"	2.40000009536743	53.561890625	0
"Switzerland"	3.70000004768372	75.799609375	0
"Syria"	14.3000001907349	NA	0
"Tajikistan"	39.5	0.892640075683594	0
"Thailand"	11.1999998092651	5.58969873046875	0
"Togo"	53.4000015258789	0.531156127929687	1
"Tonga"	14.6999998092651	3.58109228515625	0
"Trinidad and Tobago"	17.7000007629395	16.86255078125	0
"United Arab Emirates"	6.80000019073486	39.034375	0
"Tunisia"	12.5	4.2651455078125	0
"Turkey"	12.5	13.31202734375	0
"Turkmenistan"	46.0999984741211	6.3992705078125	0
"Tuvalu"	22.7000007629395	3.28252392578125	0
"Uganda"	41	0.643808227539063	1
"Ukraine"	8.39999961853027	3.12391552734375	0
"Macedonia"	10.1000003814697	4.9202158203125	0
"Egypt"	20.8999996185303	2.60837524414063	0
"United Kingdom"	3.79999995231628	40.6213125	0
"Tanzania"	42.5999984741211	0.806150085449219	1
"United States"	5.80000019073486	50.78251953125	0
"Burkina Faso"	56.2999992370605	0.620250854492188	1
"Uruguay"	8.10000038146973	13.8566953125	0
"Uzbekistan"	24.5	1.7444912109375	0
"Venezuela"	14.5	14.4623583984375	0
"Samoa"	15.5	3.52464990234375	0
"Yemen"	43.2000007629395	1.10111743164062	0
"Zambia"	47.5	1.6208232421875	1
