x	y	
-2.0e1	4.029215e2	
-1.9e1	3.31031e2	
-1.8e1	3.3383379e2	
-1.7e1	2.628215e2	
-1.6e1	2.482769e2	
-1.5e1	2.054011e2	
-1.4e1	1.9392499e2	
-1.3e1	1.711202e2	
-1.2e1	1.45486e2	
-1.1e1	1.196714e2	
-1.0e1	5.4625702e1	
-9.0e0	5.9113e1	
-8.0e0	6.38588e1	
-7.0e0	2.4634999e1	
-6.0e0	4.01383e1	
-5.0e0	2.2894398e1	
-4.0e0	1.2035004e0	
-3.0e0	-3.764899e0	
-2.0e0	-4.1496402e1	
-1.0e0	-9.188202e0	
0.0e0	-2.561598e0	
1.0e0	-4.0501e1	
2.0e0	2.456001e0	
3.0e0	1.902998e0	
4.0e0	-1.31113007e1	
5.0e0	2.0946802e1	
6.0e0	3.6239201e1	
7.0e0	5.4776599e1	
8.0e0	1.80971e1	
9.0e0	3.77881e1	
1.0e1	8.2668199e1	
1.1e1	1.0228549e2	
1.2e1	1.1969711e2	
1.3e1	1.250444e2	
1.4e1	1.8001549e2	
1.5e1	1.7754161e2	
1.6e1	2.225729e2	
1.7e1	2.569526e2	
1.8e1	2.795464e2	
1.9e1	3.483575e2	
