"X"	"Y"
-20	197
-19.75	189.662
-19.5	182.507
-19.25	175.535
-19	168.743
-18.75	162.127
-18.5	155.686
-18.25	149.418
-18	143.32
-17.75	137.39
-17.5	131.625
-17.25	126.023
-17	120.582
-16.75	115.3
-16.5	110.174
-16.25	105.201
-16	100.38
-15.75	95.708
-15.5	91.183
-15.25	86.801
-15	82.562
-14.75	78.463
-14.5	74.501
-14.25	70.674
-14	66.98
-13.75	63.416
-13.5	59.98
-13.25	56.67
-13	53.483
-12.75	50.416
-12.5	47.469
-12.25	44.637
-12	41.92
-11.75	39.314
-11.5	36.818
-11.25	34.428
-11	32.142
-10.75	29.959
-10.5	27.876
-10.25	25.891
-10	24
-9.75	22.202
-9.5	20.495
-9.25	18.876
-9	17.343
-8.75	15.893
-8.5	14.524
-8.25	13.234
-8	12.02
-7.75	10.88
-7.5	9.812
-7.25	8.814
-7	7.883
-6.75	7.016
-6.5	6.211
-6.25	5.467
-6	4.78
-5.75	4.149
-5.5	3.57
-5.25	3.042
-5	2.562
-4.75	2.129
-4.5	1.739
-4.25	1.39
-4	1.08
-3.75	0.807
-3.5	0.568
-3.25	0.36
-3	0.182
-2.75	0.032
-2.5	-0.094
-2.25	-0.197
-2	-0.28
-1.75	-0.345
-1.5	-0.395
-1.25	-0.432
-1	-0.458
-0.75	-0.475
-0.5	-0.486
-0.25	-0.494
0	-0.5
0.25	-0.507
0.5	-0.518
0.75	-0.534
1	-0.558
1.25	-0.592
1.5	-0.639
1.75	-0.701
2	-0.78
2.25	-0.879
2.5	-1
2.75	-1.145
3	-1.317
3.25	-1.519
3.5	-1.751
3.75	-2.018
4	-2.32
4.25	-2.661
4.5	-3.042
4.75	-3.467
5	-3.938
5.25	-4.456
5.5	-5.024
5.75	-5.644
6	-6.32
6.25	-7.053
6.5	-7.845
6.75	-8.699
7	-9.617
7.25	-10.602
7.5	-11.656
7.75	-12.781
8	-13.98
8.25	-15.255
8.5	-16.608
8.75	-18.041
9	-19.558
9.25	-21.159
9.5	-22.849
9.75	-24.628
10	-26.5
10.25	-28.466
10.5	-30.53
10.75	-32.693
11	-34.958
11.25	-37.326
11.5	-39.801
11.75	-42.385
12	-45.08
12.25	-47.888
12.5	-50.812
12.75	-53.855
13	-57.017
13.25	-60.303
13.5	-63.714
13.75	-67.252
14	-70.92
14.25	-74.72
14.5	-78.655
14.75	-82.727
15	-86.938
15.25	-91.29
15.5	-95.786
15.75	-100.429
16	-105.22
16.25	-110.162
16.5	-115.257
16.75	-120.509
17	-125.918
17.25	-131.487
17.5	-137.219
17.75	-143.116
18	-149.18
18.25	-155.414
18.5	-161.82
18.75	-168.4
19	-175.157
19.25	-182.094
19.5	-189.211
19.75	-196.513
20	-204
